"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9398093473128","47.9632540329855","46.0941703782292","47.2728421670986","46.8997176068227","47.3274432016723","46.720340774002","46.3435954549642","46.7969472122265","46.4280797717269","47.750923132238","46.9870010217962","45.0264058500342","47.4292382945314","49.043139847841","48.2060382291085","48.6386545878544","50.7788482410199","51.9583084650662","51.7665453236683","49.888658935811","49.8452112061088","47.9888148562131","47.7908244853555","48.4840013025553","47.3248811399745","47.2042765305367","46.7516150167449","45.8562097907504","46.2219929707477","43.2322046479544","43.4855157544601","42.993108618321","19.77","",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5029924273135","35.8190476238823","36.8965269743084","36.2176033776695","31.8023605271151","30.8364648245012","32.6430364770624","33.5878292844854","32.8566086029868","34.2324287560912","37.9162528214722","38.8485559634129","39.0072764073749","39.9673585674887","38.1234396097328","39.7761137467115","38.172429623544","38.0676132569154","38.9454618974178","36.4636482027312","43.8084714554267","46.5797118993664","44.2617531448831","44.9532003596271","47.0963564231032","45.789187933884","47.3382394597892","45.6637609179918","45.2089133769759","47.6414467210372","47.0610760520463","47.0674267190768","47.1177454829575","","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.48","25.48","24.1","24.96","24.44","22.93","23.78","24.27","22.62","25.42","26.15","27.9","29.71","33.99","33.33","27.83","33.94","38.73","42.59","47.31","46.18","46.96","51.53","51.27","45.16","53.4","48.27","47.83","40.55","43.2","40.6","45.48","47.02","","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6","69.82","56.07","53.47","54.85","49.54","45.45","41.45","45.31","58.3","58.78","61.02","63.29","64.59","65.64","66.56","64.51","65.18","63.93","63.51","63.34","61.6","57.88","56.53","61.53","60.19","58.07","62.12","60.11","59.41","57.07","56.22","55.06","","",
"Andorra","AND","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5960107730241","93.7938342391645","94.3340302091302","94.5851746042695","94.4303199411433","94.4925234719386","94.5099982645704","94.6571231800393","94.6898308530649","94.6254994185667","94.7367813335762","94.8883911488646","95.0721276390868","95.1374136121573","95.0470862396077","95.3488833874481","95.5088694814484","95.8276882425737","96.2220025067089","96.2927837734051","96.3687473157329","96.4540392340735","96.5559261306022","96.5048339478094","96.7031389779189","96.7870527693813","96.8468046043994","96.8847409100606","96.8055919539957","96.6322077601741","96.3176171089859","96.1222182784702","95.8392833423507","","",
"United Arab Emirates","ARE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","99.86","99.89","99.91","99.91","99.94","99.94","99.95","99.95","99.95","99.96","99.96","99.96","99.94","99.94","99.94","99.93","99.93","99.93","99.92","99.92","99.93","99.91","99.86","99.87","99.82","99.82","99.77","99.53","98.7","96.07","92.72","","",
"Argentina","ARG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.64","87.97","87.63","86.64","86.79","86.94","87.72","86.8","87.52","89.13","88.7","86.09","86.28","86.57","88.61","88.13","88.44","89.44","89.93","88.13","88.53","88.88","89.52","89.08","89.05","88.73","88.42","88.18","87.73","86.82","86.38","87.4","86.96","","",
